engine_variant,engine,variant,manufacturer,region,engine_family,aspiration,displacement,displacement_l,power_hp,torque_nm,bore_mm,stroke_mm,compression_ratio,redline_rpm,hp_per_litre,configuration,valvetrain,fuel_system,block_material,head_material,production,confidence
Subaru FA engine (2.0L),Subaru FA engine,2.0L,Subaru,JDM,FA,Naturally Aspirated,2000.0,2.0,,,,,,,,Petrol/gasoline,DOHC4 valves x cyl.withAVCS,"Fuel injection,Direct injection",,,2012present,epa_verified
Subaru EJ engine (2.5L),Subaru EJ engine,2.5L,Subaru,JDM,EJ,Naturally Aspirated,2500.0,2.5,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
Subaru EJ engine (2.2L),Subaru EJ engine,2.2L,Subaru,JDM,EJ,Naturally Aspirated,2200.0,2.2,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
OM651,OM651,base,OM651,Other,OM,Naturally Aspirated,2143.0,2.1,,,,,,,,,,,,,,epa_verified
OM646,OM646,base,OM646,Other,OM,Naturally Aspirated,2148.0,2.1,,,,,,,,,,,,,,epa_verified
Toyota UR engine (5.7L),Toyota UR engine,5.7L,Toyota,JDM,UR,Naturally Aspirated,5700.0,5.7,,,,,,,,90V8,DOHC4 valves x cyl.w/VVT-i,D-4S direct injection,Die-castaluminum,Aluminum,2006present,epa_verified
Toyota UR engine (5.0L),Toyota UR engine,5.0L,Toyota,JDM,UR,Naturally Aspirated,5000.0,5.0,,,,,,,,90V8,DOHC4 valves x cyl.w/VVT-i,D-4S direct injection,Die-castaluminum,Aluminum,2006present,epa_verified
Northstar engine series (4.4L),Northstar engine series,4.4L,Northstar,Other,ENGINE,Naturally Aspirated,4400.0,4.4,,,,,,,,90V8/V6,DOHC4 valves x cyl.(withVVTon some variants),AC RochesterSequential FI,Aluminum,Aluminum,19922011,epa_verified
Northstar engine series (4.0L),Northstar engine series,4.0L,Northstar,Other,ENGINE,Naturally Aspirated,4000.0,4.0,,,,,,,,90V8/V6,DOHC4 valves x cyl.(withVVTon some variants),AC RochesterSequential FI,Aluminum,Aluminum,19922011,epa_verified
Northstar engine series (3.5L),Northstar engine series,3.5L,Northstar,Other,ENGINE,Naturally Aspirated,3500.0,3.5,,,,,,,,90V8/V6,DOHC4 valves x cyl.(withVVTon some variants),AC RochesterSequential FI,Aluminum,Aluminum,19922011,epa_verified
Nissan VR engine (3.8L),Nissan VR engine,3.8L,Nissan,JDM,VR,Turbocharged,3800.0,3.8,,,,,,,,60V6,"DOHC,4 valvespercylinder",Multi-point(VR38DETT)/Direct injection(VR30DDTT/VR35DDTT),Aluminum,Aluminum,2007present,epa_verified
Nissan VR engine (3.5L),Nissan VR engine,3.5L,Nissan,JDM,VR,Turbocharged,3500.0,3.5,,,,,,,,60V6,"DOHC,4 valvespercylinder",Multi-point(VR38DETT)/Direct injection(VR30DDTT/VR35DDTT),Aluminum,Aluminum,2007present,epa_verified
Mitsubishi 4B1 engine (2.4L),Mitsubishi 4B1 engine,2.4L,Mitsubishi,JDM,4B1,Naturally Aspirated,2400.0,2.4,187.7,,,,,,78.2,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,epa_verified
Nissan SR engine (1.6L),Nissan SR engine,1.6L,Nissan,JDM,SR,Naturally Aspirated,1600.0,1.6,150.0,,,,,,93.8,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,epa_verified
Nissan RB engine (3.0L),Nissan RB engine,3.0L,Nissan,JDM,RB,Naturally Aspirated,3000.0,3.0,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Nissan RB engine (2.8L),Nissan RB engine,2.8L,Nissan,JDM,RB,Naturally Aspirated,2800.0,2.8,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Mitsubishi 4B1 engine (1.8L),Mitsubishi 4B1 engine,1.8L,Mitsubishi,JDM,4B1,Naturally Aspirated,1800.0,1.8,187.7,,,,,,104.3,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,epa_verified
Mercedes-Benz OM656 engine,Mercedes-Benz OM656 engine,base,Mercedes-Benz,European,OM,Naturally Aspirated,2900.0,2.9,,,,,,,,Straight-six engine,DOHC4 valvesx cyl. withVVL - CAMTRONIC,Common raildirect injection,Aluminium alloy,Aluminium alloy,2017present,epa_verified
Mercedes-Benz OM651 engine (2.1L),Mercedes-Benz OM651 engine,2.1L,Mercedes-Benz,European,OM,Turbocharged,2100.0,2.1,,,,,,,,Inline-4,"DOHC, chain-driven and gears",Common rail,Cast iron,Aluminium alloy,2008present,epa_verified
N55,N55,base,N55,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
N54,N54,base,N54,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
N52,N52,base,N52,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
OM642,OM642,base,OM642,Other,OM,Naturally Aspirated,2987.0,3.0,,,,,,,,,,,,,,epa_verified
OM626,OM626,base,OM626,Other,OM,Naturally Aspirated,4398.0,4.4,,,,,,,,,,,,,,epa_verified
Northstar engine series (4.6L),Northstar engine series,4.6L,Northstar,Other,ENGINE,Naturally Aspirated,4600.0,4.6,,,,,,,,90V8/V6,DOHC4 valves x cyl.(withVVTon some variants),AC RochesterSequential FI,Aluminum,Aluminum,19922011,epa_verified
N43,N43,base,N43,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
Mitsubishi Sirius engine (2.4L),Mitsubishi Sirius engine,2.4L,Mitsubishi,JDM,SIRIUS,Naturally Aspirated,2400.0,2.4,,,,,,,,Inline-four,"SOHC&DOHC, 2 &4 valvesx cyl. withMIVECon some versions","Carburetor,Fuel injection",Cast iron,Aluminium,19802013 (4G6 & 4D6 Series)1980present (4K Series: China),epa_verified
Mitsubishi Sirius engine (2.0L),Mitsubishi Sirius engine,2.0L,Mitsubishi,JDM,SIRIUS,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline-four,"SOHC&DOHC, 2 &4 valvesx cyl. withMIVECon some versions","Carburetor,Fuel injection",Cast iron,Aluminium,19802013 (4G6 & 4D6 Series)1980present (4K Series: China),epa_verified
Mitsubishi Sirius engine (1.8L),Mitsubishi Sirius engine,1.8L,Mitsubishi,JDM,SIRIUS,Naturally Aspirated,1800.0,1.8,,,,,,,,Inline-four,"SOHC&DOHC, 2 &4 valvesx cyl. withMIVECon some versions","Carburetor,Fuel injection",Cast iron,Aluminium,19802013 (4G6 & 4D6 Series)1980present (4K Series: China),epa_verified
Mitsubishi Sirius engine (1.6L),Mitsubishi Sirius engine,1.6L,Mitsubishi,JDM,SIRIUS,Naturally Aspirated,1600.0,1.6,,,,,,,,Inline-four,"SOHC&DOHC, 2 &4 valvesx cyl. withMIVECon some versions","Carburetor,Fuel injection",Cast iron,Aluminium,19802013 (4G6 & 4D6 Series)1980present (4K Series: China),epa_verified
Renault R-Type engine (1.7L),Renault R-Type engine,1.7L,Renault,European,R,Naturally Aspirated,1700.0,1.7,,,,,,,,I4,DOHC/4 valves x cyl.(R9M)SOHC/2 valves x cyl.(R9N),Common railDirect Injection,,,2011present,epa_verified
Renault R-Type engine (1.6L),Renault R-Type engine,1.6L,Renault,European,R,Naturally Aspirated,1600.0,1.6,,,,,,,,I4,DOHC/4 valves x cyl.(R9M)SOHC/2 valves x cyl.(R9N),Common railDirect Injection,,,2011present,epa_verified
Porsche 911 (996),Porsche 911 (996),base,Porsche,European,911,Naturally Aspirated,3400.0,3.4,,,,,,,,"Rear-engine, rear-wheel drive/Rear-engine, all-wheel drive",,,,,"July 17, 19972004 (2005 and 2006 for 911 Turbo S, GT2 and GT3 models only)",epa_verified
OM656,OM656,base,OM656,Other,OM,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
OM654,OM654,base,OM654,Other,OM,Naturally Aspirated,1500.0,1.5,,,,,,,,,,,,,,epa_verified
BMW N46 (2.0L),BMW N46,2.0L,BMW,European,N,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline-4,"DOHC, withVVT&VVL",,Aluminium,Aluminium,2004-2015,epa_verified
BMW N46 (1.8L),BMW N46,1.8L,BMW,European,N,Naturally Aspirated,1800.0,1.8,,,,,,,,Inline-4,"DOHC, withVVT&VVL",,Aluminium,Aluminium,2004-2015,epa_verified
BMW N45 (2.0L),BMW N45,2.0L,BMW,European,N,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline-4,"DOHC, withVVT",,Aluminium,Aluminium,2004-2011,epa_verified
BMW N45 (1.6L),BMW N45,1.6L,BMW,European,N,Naturally Aspirated,1600.0,1.6,,,,,,,,Inline-4,"DOHC, withVVT",,Aluminium,Aluminium,2004-2011,epa_verified
Nissan VR engine (3.0L),Nissan VR engine,3.0L,Nissan,JDM,VR,Turbocharged,3000.0,3.0,,,,,,,,60V6,"DOHC,4 valvespercylinder",Multi-point(VR38DETT)/Direct injection(VR30DDTT/VR35DDTT),Aluminum,Aluminum,2007present,epa_verified
Nissan VQ engine,Nissan VQ engine,base,Nissan,JDM,VQ,Naturally Aspirated,2000.0,2.0,,24.1,85.0,,,,,60V6,DOHC4 valvesx cyl. withVVT,,Aluminium,Aluminium,1994present,epa_verified
Nissan SR engine (2.0L),Nissan SR engine,2.0L,Nissan,JDM,SR,Naturally Aspirated,2000.0,2.0,150.0,,,,,,75.0,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,epa_verified
Nissan SR engine (1.8L),Nissan SR engine,1.8L,Nissan,JDM,SR,Naturally Aspirated,1800.0,1.8,150.0,,,,,,83.3,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,epa_verified
Subaru EJ engine (1.8L),Subaru EJ engine,1.8L,Subaru,JDM,EJ,Naturally Aspirated,1800.0,1.8,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
Subaru EJ engine (1.6L),Subaru EJ engine,1.6L,Subaru,JDM,EJ,Naturally Aspirated,1600.0,1.6,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
Subaru EJ engine (1.5L),Subaru EJ engine,1.5L,Subaru,JDM,EJ,Naturally Aspirated,1500.0,1.5,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
Nissan RB engine (2.6L),Nissan RB engine,2.6L,Nissan,JDM,RB,Naturally Aspirated,2600.0,2.6,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Nissan RB engine (2.5L),Nissan RB engine,2.5L,Nissan,JDM,RB,Naturally Aspirated,2500.0,2.5,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Nissan RB engine (2.4L),Nissan RB engine,2.4L,Nissan,JDM,RB,Naturally Aspirated,2400.0,2.4,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Nissan RB engine (2.0L),Nissan RB engine,2.0L,Nissan,JDM,RB,Naturally Aspirated,2000.0,2.0,,,,,,,,Straight-six,SOHC2 valves x cyl.DOHC4 valves x cyl.withNVCS,CarburetorElectronic Fuel injection,Cast iron,Aluminium,198520042019present (new production; RB26),epa_verified
Nissan 180SX,Nissan 180SX,base,Nissan,JDM,180SX,Naturally Aspirated,1800.0,1.8,234.7,305.1,,,,,130.4,FR,DOHC 16 valve,,,,19891998,epa_verified
Chevrolet small-block engine (first- and second-generation) (5.7L),Chevrolet small-block engine (first- and second-generation),5.7L,Chevrolet,American,SMALL,Naturally Aspirated,5700.0,5.7,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Ferrari F154 engine (3.8L),Ferrari F154 engine,3.8L,Ferrari,European,F,Turbocharged,3800.0,3.8,,,,,,,,90V8,"DOHC, 32-valve",Gasoline direct injection,Aluminium,Aluminium,2013present,epa_verified
Ferrari F140 engine (6.5L),Ferrari F140 engine,6.5L,Ferrari,European,F,Naturally Aspirated,6500.0,6.5,,,,,,,,65V12,DOHC,Fuel injectionDirect fuel injection,Aluminium,Aluminium,2002present,epa_verified
Buick V6 engine (4.1L),Buick V6 engine,4.1L,Buick,American,V,Naturally Aspirated,4100.0,4.1,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
Buick V6 engine (3.8L),Buick V6 engine,3.8L,Buick,American,V,Naturally Aspirated,3800.0,3.8,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
Buick V6 engine (3.7L),Buick V6 engine,3.7L,Buick,American,V,Naturally Aspirated,3700.0,3.7,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
Buick V6 engine (3.3L),Buick V6 engine,3.3L,Buick,American,V,Naturally Aspirated,3300.0,3.3,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
Buick V6 engine (3.2L),Buick V6 engine,3.2L,Buick,American,V,Naturally Aspirated,3200.0,3.2,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
Ferrari F136 engine (4.2L),Ferrari F136 engine,4.2L,Ferrari,European,F,Naturally Aspirated,4200.0,4.2,,,,,,,,"90V8; 180 flat-plane crankshaft (Ferrari) / 90 cross-plane crankshaft (Maserati, Alfa Romeo)","DOHC, 32-valve",Direct injectionMulti-port injection,,,20012020,epa_verified
Ferrari F136 F,Ferrari F136 F,base,Ferrari,European,F,Naturally Aspirated,4500.0,4.5,,,,,,,,,,,,,,epa_verified
Ferrari Colombo engine (4.9L),Ferrari Colombo engine,4.9L,Ferrari,European,COLOMBO,Naturally Aspirated,4900.0,4.9,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (4.8L),Ferrari Colombo engine,4.8L,Ferrari,European,COLOMBO,Naturally Aspirated,4800.0,4.8,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (4.4L),Ferrari Colombo engine,4.4L,Ferrari,European,COLOMBO,Naturally Aspirated,4400.0,4.4,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (4.0L),Ferrari Colombo engine,4.0L,Ferrari,European,COLOMBO,Naturally Aspirated,4000.0,4.0,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (3.3L),Ferrari Colombo engine,3.3L,Ferrari,European,COLOMBO,Naturally Aspirated,3300.0,3.3,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
Ferrari Colombo engine (3.0L),Ferrari Colombo engine,3.0L,Ferrari,European,COLOMBO,Naturally Aspirated,3000.0,3.0,,,,,,,,60V12,"SOHC, 24-valveDOHC, 24-valve",Weber carburetorBoschK-JetronicFI,Aluminium,Aluminium,19471988,epa_verified
BMW M54 (2.5L),BMW M54,2.5L,BMW,European,M,Naturally Aspirated,2500.0,2.5,,,,,,,,Straight-6,DOHCw/VVT,,Aluminium,Aluminium,20002006,epa_verified
BMW M54 (2.2L),BMW M54,2.2L,BMW,European,M,Naturally Aspirated,2200.0,2.2,,,,,,,,Straight-6,DOHCw/VVT,,Aluminium,Aluminium,20002006,epa_verified
BMW B58B30O1,BMW B58B30O1,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,,,,,,,,,,,,,,epa_verified
5.2 L odd-firing V10,5.2 L odd-firing V10,base,5.2,Other,L,Naturally Aspirated,5200.0,5.2,,,,,,,,,,,,,,epa_verified
4G63T,4G63T,base,4G63T,Other,4G63T,Turbocharged,2000.0,2.0,,,,,,,,,,,,,,epa_verified
4B11T,4B11T,base,4B11T,Other,4B11T,Turbocharged,2000.0,2.0,,,,,,,,,,,,,,epa_verified
4.8 L 1LR-GUE even-firing V10,4.8 L 1LR-GUE even-firing V10,base,4.8,Other,L,Naturally Aspirated,4800.0,4.8,,,,,,,,,,,,,,epa_verified
BMW B58B30M1,BMW B58B30M1,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,,,,,,,,,,,,,,epa_verified
BMW M60 (4.6L),BMW M60,4.6L,BMW,European,M,Naturally Aspirated,4600.0,4.6,,,,,,,,90V8,DOHC,Normally aspirated,Aluminum,Aluminum,19921996,epa_verified
BMW M52,BMW M52,base,BMW,European,M,Naturally Aspirated,,,,,,,,,,Straight-6,"DOHC, withVVT",,Aluminium /cast iron,Aluminium,19942000,wikipedia_single
Ekspress-AM11,Ekspress-AM11,base,Ekspress-AM11,Other,EKSPRESS,Naturally Aspirated,,,,,,,,,,Communications,,,,,,wikipedia_single
Chrysler LA engine,Chrysler LA engine,base,Chrysler,American,LA,Naturally Aspirated,63.9,0.1,,,,,,,,Naturally aspirated90V6Naturally aspirated90V8Naturally aspirated90V10,OHV2 valves per cylinder,CarburetorThrottle-body fuel injectionMulti-point fuel injection(V6 only)Sequential fuel injection(V6 only),Cast iron,Cast iron,19642003,wikipedia_single
Nissan SR20DET (247hp),Nissan SR20DET,247hp,Nissan,JDM,SR,Turbocharged,,,247.0,,,,,,,Straight-four,DOHC4 valvesx cyl.,Electronic fuel injection,Aluminum,Aluminum,19892002,wikipedia_single
Nissan SR20DET (201hp),Nissan SR20DET,201hp,Nissan,JDM,SR,Turbocharged,,,201.0,,,,,,,Straight-four,DOHC4 valvesx cyl.,Electronic fuel injection,Aluminum,Aluminum,19892002,wikipedia_single
Nissan SR engine (316hp),Nissan SR engine,316hp,Nissan,JDM,SR,Naturally Aspirated,,,316.0,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,wikipedia_single
Nissan SR engine (108hp),Nissan SR engine,108hp,Nissan,JDM,SR,Naturally Aspirated,,,108.0,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,wikipedia_single
Nissan KA engine (2.4L),Nissan KA engine,2.4L,Nissan,JDM,KA,Naturally Aspirated,,,1992.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (2.0L),Nissan KA engine,2.0L,Nissan,JDM,KA,Naturally Aspirated,,,1992.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (155hp),Nissan KA engine,155hp,Nissan,JDM,KA,Naturally Aspirated,,,155.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (143hp),Nissan KA engine,143hp,Nissan,JDM,KA,Naturally Aspirated,,,143.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (134hp),Nissan KA engine,134hp,Nissan,JDM,KA,Naturally Aspirated,,,134.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Porsche flat-six engine,Porsche flat-six engine,base,Porsche,European,FLAT,Naturally Aspirated,,,,,,,,,,Flat-6,"12-valve or 24-valve,SOHC/DOHC, two-valves per cylinder or four-valves per cylinder",Mechanical fuel injectionCarburetorDirect fuel injection,,,1963present,wikipedia_single
USSChara,USSChara,base,USSChara,Other,USSCHARA,Naturally Aspirated,,,,,,,,,,Andromeda-classattack cargo ship,,,,,,wikipedia_single
Mitsubishi 6G7 engine,Mitsubishi 6G7 engine,base,Mitsubishi,JDM,6G7,Naturally Aspirated,,,,,,,,,,60V6,SOHC2 & 4 valves  cyl.DOHC4 valves  cyl.withMIVEC(on some versions),Multi-port fuel injectionDirect injection,,,19862021,wikipedia_single
Mitsubishi 4B1 engine (440hp),Mitsubishi 4B1 engine,440hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,440.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (403hp),Mitsubishi 4B1 engine,403hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,403.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (291hp),Mitsubishi 4B1 engine,291hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,291.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (287hp),Mitsubishi 4B1 engine,287hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,287.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (276hp),Mitsubishi 4B1 engine,276hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,276.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (237hp),Mitsubishi 4B1 engine,237hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,237.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mercedes-Benz OM654 engine (266hp),Mercedes-Benz OM654 engine,266hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,266.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (261hp),Mercedes-Benz OM654 engine,261hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,261.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (2.0L),Mercedes-Benz OM654 engine,2.0L,Mercedes-Benz,European,OM,Naturally Aspirated,,,2100.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (192hp),Mercedes-Benz OM654 engine,192hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,192.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (160hp),Mercedes-Benz OM654 engine,160hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,160.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (150hp),Mercedes-Benz OM654 engine,150hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,150.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (120hp),Mercedes-Benz OM654 engine,120hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,120.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (1.6L),Mercedes-Benz OM654 engine,1.6L,Mercedes-Benz,European,OM,Naturally Aspirated,,,2100.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM642 engine (181hp),Mercedes-Benz OM642 engine,181hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,181.0,,,,,,,72V6,DOHC4 valvesx cyl.,Common raildirect injection,Aluminium,Aluminium,20052021,wikipedia_single
Zastava M57,Zastava M57,base,Zastava,Other,M,Naturally Aspirated,,,,,,,,,,Semi-automatic pistol,,,,,"260,000270,000",wikipedia_single
WR 16,WR 16,base,WR,Other,16,Naturally Aspirated,,,,,,,,,,WN8h,,,,,,wikipedia_single
Mitsubishi 4B1 engine (156hp),Mitsubishi 4B1 engine,156hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,156.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (117hp),Mitsubishi 4B1 engine,117hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,117.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mercedes-Benz M139 engine (416hp),Mercedes-Benz M139 engine,416hp,Mercedes-Benz,European,M,Naturally Aspirated,,,416.0,,,,,,,Straight-four engine,DOHC,Combined Direct and Port Fuel Injection,Aluminium alloy,Aluminium alloy,2019-present,wikipedia_single
